mold_id,shape,type,application,length_mm,width_mm,height_thickness_mm,diameter_mm,wall_thickness_mm,volume_liters,surface_area_mm2,cavity_count,injection_points,typical_material,typical_density_kgm3,cycle_time_estimate_s,notes
MOLD-RECT-00001,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,200,10,,,0.6,130000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,31.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00002,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,200,15,,,0.9,135000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,32.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00003,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,200,20,,,1.2,140000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,32.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00004,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,200,25,,,1.5,145000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,33.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00005,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,200,30,,,1.8,150000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00006,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,200,35,,,2.1,155000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00007,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,200,40,,,2.4,160000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00008,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,200,45,,,2.7,165000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00009,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,200,50,,,3.0,170000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00010,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,300,10,,,0.9,192000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,32.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00011,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,300,15,,,1.35,198000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,33.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00012,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,300,20,,,1.8,204000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00013,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,300,25,,,2.25,210000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00014,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,300,30,,,2.7,216000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00015,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,300,35,,,3.15,222000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00016,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,300,40,,,3.6,228000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,37.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00017,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,300,45,,,4.05,234000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00018,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,300,50,,,4.5,240000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,39.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00019,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,400,10,,,1.2,254000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,32.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00020,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,400,15,,,1.8,261000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00021,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,400,20,,,2.4,268000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00022,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,400,25,,,3.0,275000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00023,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,400,30,,,3.6,282000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,37.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00024,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,400,35,,,4.2,289000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00025,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,400,40,,,4.8,296000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00026,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,400,45,,,5.4,303000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,41.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00027,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,400,50,,,6.0,310000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,42.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00028,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,500,10,,,1.5,316000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,33.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00029,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,500,15,,,2.25,324000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00030,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,500,20,,,3.0,332000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00031,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,500,25,,,3.75,340000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00032,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,500,30,,,4.5,348000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,39.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00033,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,500,35,,,5.25,356000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Refrigerator Panel, Medium Insulation"
