pipe_id,inner_diameter_mm,outer_diameter_mm,wall_thickness_mm,length_mm,cross_section_area_mm2,volume_liters,size_class,length_class,recommended_max_pressure_bar,material,surface_roughness_um,temperature_rating_c,notes
PIPE-00001,4,6.0,1.0,50,12.57,0.0006,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00002,4,6.0,1.0,60,12.57,0.0008,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00003,4,6.0,1.0,70,12.57,0.0009,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00004,4,6.0,1.0,80,12.57,0.001,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00005,4,6.0,1.0,90,12.57,0.0011,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00006,4,6.0,1.0,100,12.57,0.0013,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00007,4,6.0,1.0,110,12.57,0.0014,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00008,4,6.0,1.0,120,12.57,0.0015,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00009,4,6.0,1.0,130,12.57,0.0016,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00010,4,6.0,1.0,140,12.57,0.0018,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00011,4,6.0,1.0,150,12.57,0.0019,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00012,4,6.0,1.0,160,12.57,0.002,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00013,4,6.0,1.0,170,12.57,0.0021,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00014,4,6.0,1.0,180,12.57,0.0023,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00015,4,6.0,1.0,190,12.57,0.0024,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00016,4,6.0,1.0,200,12.57,0.0025,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00017,4,6.0,1.0,210,12.57,0.0026,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00018,4,6.0,1.0,220,12.57,0.0028,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00019,4,6.0,1.0,230,12.57,0.0029,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00020,4,6.0,1.0,240,12.57,0.003,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00021,4,6.0,1.0,250,12.57,0.0031,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00022,4,6.0,1.0,260,12.57,0.0033,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00023,4,6.0,1.0,270,12.57,0.0034,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00024,4,6.0,1.0,280,12.57,0.0035,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00025,4,6.0,1.0,290,12.57,0.0036,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00026,4,6.0,1.0,300,12.57,0.0038,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00027,4,6.0,1.0,310,12.57,0.0039,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00028,4,6.0,1.0,320,12.57,0.004,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00029,4,6.0,1.0,330,12.57,0.0041,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00030,4,6.0,1.0,340,12.57,0.0043,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00031,4,6.0,1.0,350,12.57,0.0044,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00032,4,6.0,1.0,360,12.57,0.0045,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00033,4,6.0,1.0,370,12.57,0.0046,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00034,4,6.0,1.0,380,12.57,0.0048,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
